sample,ID,day,month,year,lat,long,fish_x,depth,substrate,energy,slope,sst,bst,nitr,phyt,phos,mld
12-88-36-2002,88,20,3,2002,50.96441667,-10.1925,0,67.36,Mud to sandy mud,low,56.1101,7.894993084,7.859993082,8.630003719,113.4000086,0.537997651,76.49995644
12-90-42-2002,90,21,3,2002,50.61666667,-10.18883333,0,86.11,Mud to sandy mud,low,41.5178,8.200993099,8.201993099,9.730003694,59.18000985,0.657997656,90.69995665
12-92-43-2002,92,22,3,2002,50.59225,-10.406,0,47.07,Mud to sandy mud,low,23.2838,8.051993091,8.072993092,8.460003722,130.5000083,0.51399765,51.09995606
12-99-23-2002,99,18,3,2002,51.10308333,-9.547083333,0,88.64,Mud to sandy mud,low,17.4978,7.968993088,7.872993083,10.06000369,78.98000941,0.659997656,78.99995647
41-100-6-2003,100,7,10,2003,51.17383333,-10.18133333,0,26.41,Sand to muddy sand,moderate,36.5596,13.31299334,13.29399334,5.050003799,31.32001048,0.661997657,23.19995564
41-101-32-2002,101,14,10,2002,51.09483333,-9.812916667,0,125.52,Mud to sandy mud,low,20.0614,13.98399337,13.77799336,5.140003797,13.50001087,0.623997655,99.79995678
41-101-9-2003,101,7,10,2003,51.12108333,-9.819916667,0,75.51,Mud to sandy mud,low,17.2972,13.78699336,13.64399336,5.130003797,10.10001095,0.673997657,74.59995641
41-102-4-2002,102,7,10,2002,50.75591667,-9.162083333,9.4,56.01,Coarse sediment,moderate,8.5261,14.33999339,14.34999339,6.140003774,10.38001094,0.661997657,58.99995618
41-103-47-2002,103,17,10,2002,50.56866667,-9.91375,2.81,83.18,Mixed sediment,moderate,0.3167,14.30799339,14.32999339,5.360003792,10.98001093,0.623997655,92.79995668
41-17-31-2002,17,14,10,2002,51.11658333,-10.03225,0,62.44,Mud to sandy mud,low,28.0414,13.70799336,13.67199336,4.950003801,16.06001082,0.637997655,49.69995604
41-17-8-2003,17,7,10,2003,51.11825,-10.03433333,0,54.44,Mud to sandy mud,low,28.2801,13.59199335,13.54899335,5.100003798,18.32001077,0.675997657,49.59995604
41-208-38-2002,208,16,10,2002,50.79508333,-10.28066667,0,65.26,Mud to sandy mud,low,32.3433,13.89599337,13.84299337,4.770003805,12.3200109,0.633997655,63.89995625
41-242-12-2002,242,8,10,2002,51.0995,-8.535333333,0,35.78,Sand to muddy sand,moderate,0.1858,14.28499339,14.23299339,6.270003771,16.6600108,0.709997659,37.99995586
41-243-5-2002,243,7,10,2002,50.80416667,-8.651083333,0,50.59,Coarse sediment,moderate,0.999,14.21599338,14.19399338,6.140003774,13.74001087,0.661997657,47.99995601
41-245-48-2003,245,15,10,2003,50.50525,-8.72125,0,44.61,Coarse sediment,moderate,4.4329,14.20299338,14.12499338,6.060003776,18.10001077,0.693997658,46.69995599
41-245-6-2002,245,7,10,2002,50.51516667,-8.73475,0,46.58,Coarse sediment,moderate,12.2504,14.41299339,14.37899339,6.710003762,14.40001085,0.707997659,46.69995599
41-246-7-2002,246,8,10,2002,50.48091667,-8.271416667,6.69,38.05,Coarse sediment,moderate,0.9127,14.4959934,14.43699339,7.710003739,19.02001075,0.795997663,34.19995581
41-247-45-2003,247,15,10,2003,50.6315,-8.113666667,0,33.14,Sand to muddy sand,moderate,1.7718,14.20199338,14.15299338,6.430003768,18.62001076,0.771997662,36.99995585
41-249-10-2002,249,8,10,2002,50.78375,-8.218666667,0,40.02,Sand to muddy sand,moderate,2.0959,14.5599934,14.4999934,6.78000376,16.8800108,0.759997661,37.39995585
41-257-15-2002,257,9,10,2002,51.40883333,-8.254416667,0,33.05,Mud to sandy mud,moderate,3.6668,14.24699339,14.25499339,6.35000377,16.9600108,0.881997667,35.89995583
41-258-17-2002,258,9,10,2002,51.32991667,-8.42425,0,41.93,Mud to sandy mud,moderate,8.1696,14.42999339,14.39999339,6.310003771,16.14001082,0.869997666,40.89995591
41-48-41-2002,48,17,10,2002,50.98516667,-9.474166667,0,55.71,Mixed sediment,moderate,4.5207,14.08899338,14.06399338,5.660003785,12.72001089,0.645997656,58.99995618
41-50-24-2003,50,9,10,2003,50.76466667,-9.847416667,0,82.4,Mud to sandy mud,low,17.7616,13.97999337,13.89499337,5.280003794,8.040010996,0.655997656,81.39995651
41-51-42-2002,51,17,10,2002,50.87375,-9.490083333,0,88.7,Mud to sandy mud,moderate,25.9223,14.22299338,14.21199338,5.87000378,10.26001095,0.651997656,74.1999564
41-51-65-2003,51,22,10,2003,50.86733333,-9.478,3.088,85.71,Mud to sandy mud,moderate,28.3654,14.02299338,13.97099337,5.380003791,10.66001094,0.649997656,74.0999564
41-56-21-2003,56,9,10,2003,50.50241667,-10.19975,0,76.98,Mud to sandy mud,moderate,35.2949,13.78699336,13.78899336,4.860003803,9.040010974,0.651997656,86.39995658
41-64-18-2002,64,9,10,2002,51.59933333,-8.256083333,0,25.1,Mud to sandy mud,moderate,6.2436,13.95799337,13.91999337,6.680003762,22.90001066,0.879997667,25.59995568
41-64-34-2003,64,13,10,2003,51.574,-8.264083333,0,28.09,Mud to sandy mud,moderate,6.5476,13.66299336,13.57399335,5.43000379,30.1200105,0.801997663,25.49995568
41-70-35-2002,70,16,10,2002,51.00466667,-10.254,0,46.36,Sand to muddy sand,low,23.1652,13.70699336,13.64899336,4.660003807,16.7800108,0.633997655,44.09995595
41-71-39-2002,71,16,10,2002,50.89116667,-10.41525,0,42.3,Mud to sandy mud,low,4.0482,13.80299336,13.78299336,4.630003808,14.82001084,0.639997656,43.79995595
41-73-40-2002,73,16,10,2002,50.82891667,-10.56,0,32.26,Sand to muddy sand,low,4.5301,13.51399335,13.52199335,4.830003804,24.54001063,0.659997656,26.69995569
41-75-15-2003,75,8,10,2003,50.68758333,-10.35683333,0,56.17,Mud to sandy mud,low,26.3813,13.55299335,13.54599335,4.590003809,17.74001078,0.651997656,51.09995606
41-75-49-2002,75,18,10,2002,50.68575,-10.34525,0,58.17,Mud to sandy mud,low,8.6331,13.81299337,13.79999336,4.770003805,14.02001086,0.643997656,51.19995606
41-76-41-2003,76,14,10,2003,50.9995,-8.946916667,0,40.34,Coarse sediment,moderate,1.2339,13.78099336,13.73299336,5.46000379,20.34001072,0.647997656,42.99995594
41-77-3-2002,77,7,10,2002,50.82225,-9.2175,4.81,70.95,Coarse sediment,moderate,4.7279,14.14899338,14.17099338,5.980003778,10.54001094,0.655997656,58.29995617
41-77-64-2003,77,22,10,2003,50.82691667,-9.208166667,10.19,70.97,Coarse sediment,moderate,4.8949,13.95499337,13.93199337,5.500003789,12.3000109,0.649997656,58.19995616
41-79-17-2003,79,8,10,2003,50.7065,-10.49533333,0,35.18,Mud to sandy mud,low,5.879,13.47199335,13.45199335,4.54000381,25.9800106,0.639997656,34.89995582
41-81-5-2003,81,6,10,2003,51.23133333,-9.898166667,0,48.48,Mud to sandy mud,low,5.6419,13.63699336,13.60799336,5.180003796,15.22001084,0.685997658,46.999956
41-83-28-2002,83,14,10,2002,51.35691667,-9.791666667,0,82.48,Sand to muddy sand,low,36.293,13.79699336,13.74499336,5.370003792,12.62001089,0.669997657,62.59995623
41-86-27-2002,86,14,10,2002,51.59841667,-9.936583333,0,41.24,Mixed sediment,moderate,12.4633,13.61899336,13.60199336,5.750003783,8.200010993,0.72599766,33.6999558
41-86-3-2003,86,6,10,2003,51.61191667,-9.95,0,39.21,Coarse sediment,moderate,5.5065,13.72199336,13.69499336,5.240003794,7.260011014,0.73399766,33.5999558
41-88-10-2003,88,7,10,2003,50.97558333,-10.19916667,0,58.37,Mud to sandy mud,low,8.1447,13.65199336,13.54799335,4.950003801,14.76001085,0.669997657,61.39995621
41-90-52-2002,90,18,10,2002,50.60958333,-10.18766667,0,86.11,Mud to sandy mud,low,41.5178,14.06799338,14.07099338,4.950003801,13.04001088,0.613997654,90.79995665
41-92-18-2003,92,8,10,2003,50.58391667,-10.40108333,0,46.06,Mud to sandy mud,low,24.4229,13.49399335,13.47599335,4.580003809,19.82001073,0.643997656,51.19995606
41-92-51-2002,92,18,10,2002,50.58341667,-10.39925,0,50.05,Mud to sandy mud,moderate,29.69,13.79699336,13.78699336,4.820003804,14.88001084,0.643997656,51.19995606
41-94-54-2002,94,21,10,2002,50.39816667,-10.27741667,6.65,81.79,Mud to sandy mud,moderate,2.711,14.03799338,14.02799338,5.070003798,13.12001088,0.635997655,62.09995622
41-97-21-2002,97,10,10,2002,51.30658333,-9.404333333,0,68.67,Sand to muddy sand,low,34.3912,14.04099338,14.01999337,5.660003785,14.24001086,0.687997658,62.39995623
41-99-24-2002,99,10,10,2002,51.10308333,-9.544166667,0,88.64,Mud to sandy mud,low,17.4978,14.04899338,13.96499337,5.520003788,13.70001087,0.645997656,79.09995648
8-17-15-2002,17,21,2,2002,51.11733333,-10.03416667,0,54.44,Mud to sandy mud,low,28.2801,8.386993107,8.372993107,10.37000368,25.20001061,0.721997659,49.69995604
8-56-6-2002,56,18,2,2002,50.50133333,-10.18225,0,79.98,Mud to sandy mud,moderate,29.4368,9.139993143,9.133993143,9.580003697,1.880011134,0.73999766,86.49995659
8-70-14-2002,70,21,2,2002,51.00058333,-10.25133333,0,46.36,Sand to muddy sand,low,23.1652,8.682993121,8.682993121,10.20000368,21.96001069,0.721997659,44.19995596
8-92-2-2002,92,18,2,2002,50.59775,-10.40708333,0,47.07,Mud to sandy mud,low,23.2838,9.036993138,9.031993138,9.800003693,9.440010965,0.73199766,51.29995606
8-93-9-2002,93,19,2,2002,50.50725,-10.32541667,0,67.95,Mud to sandy mud,moderate,62.0555,9.157993144,9.155993144,9.630003696,3.960011087,0.73599766,68.69995632
8-94-8-2002,94,19,2,2002,50.3945,-10.27733333,0,81.79,Mud to sandy mud,moderate,2.711,9.130993143,9.148993144,9.590003697,6.180011038,0.72999766,62.09995622
